"Admin Activity","Admin Activity"
"Invalid activity ID provided","Invalid activity ID provided"
"Login Activity","Login Activity"
"System Configuration","System Configuration"
actions,actions
"Something went wrong, please try again","Something went wrong, please try again"
"Activity data has already been reverted","Activity data has already been reverted"
"Activity data has been reverted successfully","Activity data has been reverted successfully"
Success,Success
Failed,Failed
Login,Login
Logout,Logout
"All Store Views","All Store Views"
View,View
"Activity Details","Activity Details"
"Admin User","Admin User"
Unknown,Unknown
Date,Date
Module,Module
Action,Action
Scope,Scope
Store,Store
Path,Path
"User Agent","User Agent"
"Field Changes","Field Changes"
"Field Name","Field Name"
"Old Value","Old Value"
"New Value","New Value"
Protected,Protected
(empty),(empty)
"No field changes recorded for this activity.","No field changes recorded for this activity."
"Activity Log","Activity Log"
Back,Back
Revert,Revert
New,New
Edit,Edit
Delete,Delete
"Mass Delete","Mass Delete"
"Mass Status","Mass Status"
"Mass Edit","Mass Edit"
"Mass Subscribe","Mass Subscribe"
"Mass Unsubscribe","Mass Unsubscribe"
"Mass Assign Group","Mass Assign Group"
"Mass Disable","Mass Disable"
"Mass Enable","Mass Enable"
Reorder,Reorder
Hold,Hold
Unhold,Unhold
Cancel,Cancel
"Add Comment","Add Comment"
"Mass Cancel","Mass Cancel"
"Mass Hold","Mass Hold"
"Mass Unhold","Mass Unhold"
Assign,Assign
Unassign,Unassign
"Catalog Product","Catalog Product"
"Catalog Categories","Catalog Categories"
Customer,Customer
"Customer Group","Customer Group"
"Catalog Promotion","Catalog Promotion"
"Cart Promotion","Cart Promotion"
"Email Newsletter","Email Newsletter"
"Cms Pages","Cms Pages"
"Cms Blocks","Cms Blocks"
"Cms Widget","Cms Widget"
Themes,Themes
"Themes Schedule","Themes Schedule"
"Store and Website","Store and Website"
"Product Attributes","Product Attributes"
"Product Attributes Set","Product Attributes Set"
"Product Review Rating","Product Review Rating"
"Product Review","Product Review"
"Admin User Role","Admin User Role"
"Sales Order","Sales Order"
Taxes,Taxes
"Tax Rate","Tax Rate"
"SEO URL Rewrites","SEO URL Rewrites"
"SEO Search Term","SEO Search Term"
"SEO Search Synonyms","SEO Search Synonyms"
"SEO Sitemap","SEO Sitemap"
"Terms and Conditions","Terms and Conditions"
"Order Status","Order Status"
"API Integration","API Integration"
"Admin Activity Logs","Admin Activity Logs"
"General Configuration","General Configuration"
"Enable Admin Activity Logs","Enable Admin Activity Logs"
"Record Login Activity","Record Login Activity"
"Record Page Visits","Record Page Visits"
"Clear Admin Activity Logs After","Clear Admin Activity Logs After"
"Number of days","Number of days"
"Store View","Store View"
All,All
"Action Type","Action Type"
Username,Username
Name,Name
"Activity Type","Activity Type"
"Full Action","Full Action"
"IP Address","IP Address"
Item,Item
Type,Type
Status,Status
